venue,total_matches,chases_won,defended,chase_success_rate
Sheikh Zayed Stadium,29,16,13,55.17
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",22,12,9,54.55
"M Chinnaswamy Stadium, Bengaluru",19,9,12,47.37
Brabourne Stadium,10,4,9,40.0
Saurashtra Cricket Association Stadium,10,6,3,60.0
M.Chinnaswamy Stadium,15,7,7,46.67
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5,2,3,40.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",19,11,9,57.89
"Himachal Pradesh Cricket Association Stadium, Dharamsala",6,1,5,16.67
Feroz Shah Kotla,60,31,29,51.67
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",10,6,6,60.0
Newlands,7,3,4,42.86
Shaheed Veer Narayan Singh International Stadium,6,4,2,66.67
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,0,1,0.0
Wankhede Stadium,73,40,36,54.79
"Rajiv Gandhi International Stadium, Uppal",49,28,21,57.14
"MA Chidambaram Stadium, Chepauk",48,19,35,39.58
Kingsmead,15,6,9,40.0
New Wanderers Stadium,8,5,4,62.5
"Brabourne Stadium, Mumbai",17,9,9,52.94
Punjab Cricket Association IS Bindra Stadium,10,7,4,70.0
"Wankhede Stadium, Mumbai",52,34,21,65.38
"Arun Jaitley Stadium, Delhi",23,11,14,47.83
"Sardar Patel Stadium, Motera",12,5,6,41.67
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,7,7,53.85
MA Chidambaram Stadium,9,5,5,55.56
"Narendra Modi Stadium, Ahmedabad",33,21,17,63.64
De Beers Diamond Oval,3,2,1,66.67
Green Park,4,4,0,100.0
Arun Jaitley Stadium,14,6,8,42.86
"Barsapara Cricket Stadium, Guwahati",5,2,3,40.0
M Chinnaswamy Stadium,65,38,26,58.46
Himachal Pradesh Cricket Association Stadium,9,6,5,66.67
Eden Gardens,77,46,35,59.74
Barabati Stadium,7,3,4,42.86
"Vidarbha Cricket Association Stadium, Jamtha",3,1,2,33.33
Sharjah Cricket Stadium,28,18,10,64.29
Rajiv Gandhi International Stadium,15,8,8,53.33
"MA Chidambaram Stadium, Chepauk, Chennai",34,20,15,58.82
"Dr DY Patil Sports Academy, Mumbai",20,10,10,50.0
Holkar Cricket Stadium,9,8,1,88.89
Maharashtra Cricket Association Stadium,22,15,10,68.18
JSCA International Stadium Complex,7,5,2,71.43
Dubai International Cricket Stadium,46,24,21,52.17
"Eden Gardens, Kolkata",23,10,14,43.48
"Punjab Cricket Association IS Bindra Stadium, Mohali",11,6,5,54.55
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",4,2,2,50.0
Sawai Mansingh Stadium,47,32,16,68.09
OUTsurance Oval,2,1,1,50.0
Buffalo Park,3,1,3,33.33
"Zayed Cricket Stadium, Abu Dhabi",8,5,3,62.5
"Punjab Cricket Association Stadium, Mohali",35,21,16,60.0
Dr DY Patil Sports Academy,17,10,8,58.82
SuperSport Park,12,10,4,83.33
Subrata Roy Sahara Stadium,16,6,11,37.5
St George's Park,7,4,4,57.14
Nehru Stadium,5,2,4,40.0
"Maharashtra Cricket Association Stadium, Pune",13,3,10,23.08
"Sawai Mansingh Stadium, Jaipur",17,9,8,52.94
